minecraft,en_us,zh_cn
@woods,@Woods,@木材
stripped_cherry_log,Stripped Cherry Log,去皮樱花原木
stripped_cherry_wood,Stripped Cherry Wood,去皮樱花木
cherry_log,Cherry Log,樱花原木
cherry_wood,Cherry Wood,樱花木
cherry_planks,Cherry Planks,樱花木板
cherry_slab,Cherry Slab,樱花木台阶
cherry_stairs,Cherry Stairs,樱花木楼梯
cherry_trapdoor,Cherry Trapdoor,樱花木活板门
cherry_door,Cherry Door,樱花木门
cherry_fence,Cherry Fence,樱花木栅栏
cherry_fence_gate,Cherry Fence Gate,樱花木栅栏门
cherry_shelf,Cherry Shelf,樱花木展示架
cherry_sign,Cherry Sign,樱花木告示牌
cherry_hanging_sign,Cherry Hanging Sign,悬挂式樱花木告示牌
cherry_wall_sign,Cherry Wall Sign,墙上的樱花木告示牌
cherry_wall_hanging_sign,Cherry Wall Hanging Sign,墙上的悬挂式樱花木告示牌
cherry_button,Cherry Button,樱花木按钮
cherry_pressure_plate,Cherry Pressure Plate,樱花木压力板
,,
stripped_acacia_log,Stripped Acacia Log,去皮金合欢原木
stripped_acacia_wood,Stripped Acacia Wood,去皮金合欢木
acacia_log,Acacia Log,金合欢原木
acacia_wood,Acacia Wood,金合欢木
acacia_planks,Acacia Planks,金合欢木板
acacia_slab,Acacia Slab,金合欢木台阶
acacia_stairs,Acacia Stairs,金合欢木楼梯
acacia_trapdoor,Acacia Trapdoor,金合欢木活板门
acacia_door,Acacia Door,金合欢木门
acacia_fence,Acacia Fence,金合欢木栅栏
acacia_fence_gate,Acacia Fence Gate,金合欢木栅栏门
acacia_shelf,Acacia Shelf,金合欢木展示架
acacia_sign,Acacia Sign,金合欢木告示牌
acacia_hanging_sign,Acacia Hanging Sign,悬挂式金合欢木告示牌
acacia_wall_sign,Acacia Wall Sign,墙上的金合欢木告示牌
acacia_wall_hanging_sign,Acacia Wall Hanging Sign,墙上的悬挂式金合欢木告示牌
acacia_button,Acacia Button,金合欢木按钮
acacia_pressure_plate,Acacia Pressure Plate,金合欢木压力板
,,
stripped_pale_oak_log,Stripped Pale Oak Log,去皮苍白橡木原木
stripped_pale_oak_wood,Stripped Pale Oak Wood,去皮苍白橡木
pale_oak_log,Pale Oak Log,苍白橡木原木
pale_oak_wood,Pale Oak Wood,苍白橡木
pale_oak_planks,Pale Oak Planks,苍白橡木木板
pale_oak_slab,Pale Oak Slab,苍白橡木台阶
pale_oak_stairs,Pale Oak Stairs,苍白橡木楼梯
pale_oak_trapdoor,Pale Oak Trapdoor,苍白橡木活板门
pale_oak_door,Pale Oak Door,苍白橡木门
pale_oak_fence,Pale Oak Fence,苍白橡木栅栏
pale_oak_fence_gate,Pale Oak Fence Gate,苍白橡木栅栏门
pale_oak_shelf,Pale Oak Shelf,苍白橡木展示架
pale_oak_sign,Pale Oak Sign,苍白橡木告示牌
pale_oak_hanging_sign,Pale Oak Hanging Sign,悬挂式苍白橡木告示牌
pale_oak_wall_sign,Pale Oak Wall Sign,墙上的苍白橡木告示牌
pale_oak_wall_hanging_sign,Pale Oak Wall Hanging Sign,墙上的悬挂式苍白橡木告示牌
pale_oak_button,Pale Oak Button,苍白橡木按钮
pale_oak_pressure_plate,Pale Oak Pressure Plate,苍白橡木压力板
,,
stripped_birch_log,Stripped Birch Log,去皮白桦原木
stripped_birch_wood,Stripped Birch Wood,去皮白桦木
birch_log,Birch Log,白桦原木
birch_wood,Birch Wood,白桦木
birch_planks,Birch Planks,白桦木板
birch_slab,Birch Slab,白桦木台阶
birch_stairs,Birch Stairs,白桦木楼梯
birch_trapdoor,Birch Trapdoor,白桦木活板门
birch_door,Birch Door,白桦木门
birch_fence,Birch Fence,白桦木栅栏
birch_fence_gate,Birch Fence Gate,白桦木栅栏门
birch_shelf,Birch Shelf,白桦木展示架
birch_sign,Birch Sign,白桦木告示牌
birch_hanging_sign,Birch Hanging Sign,悬挂式白桦木告示牌
birch_wall_sign,Birch Wall Sign,墙上的白桦木告示牌
birch_wall_hanging_sign,Birch Wall Hanging Sign,墙上的悬挂式白桦木告示牌
birch_button,Birch Button,白桦木按钮
birch_pressure_plate,Birch Pressure Plate,白桦木压力板
,,
stripped_oak_log,Stripped Oak Log,去皮橡木原木
stripped_oak_wood,Stripped Oak Wood,去皮橡木
oak_log,Oak Log,橡木原木
oak_wood,Oak Wood,橡木
oak_planks,Oak Planks,橡木木板
oak_slab,Oak Slab,橡木台阶
oak_stairs,Oak Stairs,橡木楼梯
oak_trapdoor,Oak Trapdoor,橡木活板门
oak_door,Oak Door,橡木门
oak_fence,Oak Fence,橡木栅栏
oak_fence_gate,Oak Fence Gate,橡木栅栏门
oak_shelf,Oak Shelf,橡木展示架
oak_sign,Oak Sign,橡木告示牌
oak_hanging_sign,Oak Hanging Sign,悬挂式橡木告示牌
oak_wall_sign,Oak Wall Sign,墙上的橡木告示牌
oak_wall_hanging_sign,Oak Wall Hanging Sign,墙上的悬挂式橡木告示牌
oak_button,Oak Button,橡木按钮
oak_pressure_plate,Oak Pressure Plate,橡木压力板
,,
stripped_jungle_log,Stripped Jungle Log,去皮丛林原木
stripped_jungle_wood,Stripped Jungle Wood,去皮丛林木
jungle_log,Jungle Log,丛林原木
jungle_wood,Jungle Wood,丛林木
jungle_planks,Jungle Planks,丛林木板
jungle_slab,Jungle Slab,丛林木台阶
jungle_stairs,Jungle Stairs,丛林木楼梯
jungle_trapdoor,Jungle Trapdoor,丛林木活板门
jungle_door,Jungle Door,丛林木门
jungle_fence,Jungle Fence,丛林木栅栏
jungle_fence_gate,Jungle Fence Gate,丛林木栅栏门
jungle_shelf,Jungle Shelf,丛林木展示架
jungle_sign,Jungle Sign,丛林木告示牌
jungle_hanging_sign,Jungle Hanging Sign,悬挂式丛林木告示牌
jungle_wall_sign,Jungle Wall Sign,墙上的丛林木告示牌
jungle_wall_hanging_sign,Jungle Wall Hanging Sign,墙上的悬挂式丛林木告示牌
jungle_button,Jungle Button,丛林木按钮
jungle_pressure_plate,Jungle Pressure Plate,丛林木压力板
,,
stripped_spruce_log,Stripped Spruce Log,去皮云杉原木
stripped_spruce_wood,Stripped Spruce Wood,去皮云杉木
spruce_log,Spruce Log,云杉原木
spruce_wood,Spruce Wood,云杉木
spruce_planks,Spruce Planks,云杉木板
spruce_slab,Spruce Slab,云杉木台阶
spruce_stairs,Spruce Stairs,云杉木楼梯
spruce_trapdoor,Spruce Trapdoor,云杉木活板门
spruce_door,Spruce Door,云杉木门
spruce_fence,Spruce Fence,云杉木栅栏
spruce_fence_gate,Spruce Fence Gate,云杉木栅栏门
spruce_shelf,Spruce Shelf,云杉木展示架
spruce_sign,Spruce Sign,云杉木告示牌
spruce_hanging_sign,Spruce Hanging Sign,悬挂式云杉木告示牌
spruce_wall_sign,Spruce Wall Sign,墙上的云杉木告示牌
spruce_wall_hanging_sign,Spruce Wall Hanging Sign,墙上的悬挂式云杉木告示牌
spruce_button,Spruce Button,云杉木按钮
spruce_pressure_plate,Spruce Pressure Plate,云杉木压力板
,,
stripped_dark_oak_log,Stripped Dark Oak Log,去皮深色橡木原木
stripped_dark_oak_wood,Stripped Dark Oak Wood,去皮深色橡木
dark_oak_log,Dark Oak Log,深色橡木原木
dark_oak_wood,Dark Oak Wood,深色橡木
dark_oak_planks,Dark Oak Planks,深色橡木木板
dark_oak_slab,Dark Oak Slab,深色橡木台阶
dark_oak_stairs,Dark Oak Stairs,深色橡木楼梯
dark_oak_trapdoor,Dark Oak Trapdoor,深色橡木活板门
dark_oak_door,Dark Oak Door,深色橡木门
dark_oak_fence,Dark Oak Fence,深色橡木栅栏
dark_oak_fence_gate,Dark Oak Fence Gate,深色橡木栅栏门
dark_oak_shelf,Dark Oak Shelf,深色橡木展示架
dark_oak_sign,Dark Oak Sign,深色橡木告示牌
dark_oak_hanging_sign,Dark Oak Hanging Sign,悬挂式深色橡木告示牌
dark_oak_wall_sign,Dark Oak Wall Sign,墙上的深色橡木告示牌
dark_oak_wall_hanging_sign,Dark Oak Wall Hanging Sign,墙上的悬挂式深色橡木告示牌
dark_oak_button,Dark Oak Button,深色橡木按钮
dark_oak_pressure_plate,Dark Oak Pressure Plate,深色橡木压力板
,,
stripped_mangrove_log,Stripped Mangrove Log,去皮红树原木
stripped_mangrove_wood,Stripped Mangrove Wood,去皮红树木
mangrove_log,Mangrove Log,红树原木
mangrove_wood,Mangrove Wood,红树木
mangrove_planks,Mangrove Planks,红树木板
mangrove_slab,Mangrove Slab,红树木台阶
mangrove_stairs,Mangrove Stairs,红树木楼梯
mangrove_trapdoor,Mangrove Trapdoor,红树木活板门
mangrove_door,Mangrove Door,红树木门
mangrove_fence,Mangrove Fence,红树木栅栏
mangrove_fence_gate,Mangrove Fence Gate,红树木栅栏门
mangrove_shelf,Mangrove Shelf,红树木展示架
mangrove_sign,Mangrove Sign,红树木告示牌
mangrove_hanging_sign,Mangrove Hanging Sign,悬挂式红树木告示牌
mangrove_wall_sign,Mangrove Wall Sign,墙上的红树木告示牌
mangrove_wall_hanging_sign,Mangrove Wall Hanging Sign,墙上的悬挂式红树木告示牌
mangrove_button,Mangrove Button,红树木按钮
mangrove_pressure_plate,Mangrove Pressure Plate,红树木压力板
mangrove_roots,Mangrove Roots,红树根
muddy_mangrove_roots,Muddy Mangrove Roots,沾泥的红树根
,,
stripped_bamboo_block,Block of Stripped Bamboo,去皮竹块
bamboo_block,Block of Bamboo,竹块
bamboo_planks,Bamboo Planks,竹板
bamboo_slab,Bamboo Slab,竹台阶
bamboo_stairs,Bamboo Stairs,竹楼梯
bamboo_mosaic,Bamboo Mosaic,竹马赛克
bamboo_mosaic_slab,Bamboo Mosaic Slab,竹马赛克台阶
bamboo_mosaic_stairs,Bamboo Mosaic Stairs,竹马赛克楼梯
bamboo_trapdoor,Bamboo Trapdoor,竹活板门
bamboo_door,Bamboo Door,竹门
bamboo_fence,Bamboo Fence,竹栅栏
bamboo_fence_gate,Bamboo Fence Gate,竹栅栏门
bamboo_shelf,Bamboo Shelf,竹展示架
bamboo_sign,Bamboo Sign,竹告示牌
bamboo_hanging_sign,Bamboo Hanging Sign,悬挂式竹告示牌
bamboo_wall_sign,Bamboo Wall Sign,墙上的竹告示牌
bamboo_wall_hanging_sign,Bamboo Wall Hanging Sign,墙上的悬挂式竹告示牌
bamboo_button,Bamboo Button,竹按钮
bamboo_pressure_plate,Bamboo Pressure Plate,竹压力板
,,
stripped_crimson_stem,Stripped Crimson Stem,去皮绯红菌柄
stripped_crimson_hyphae,Stripped Crimson Hyphae,去皮绯红菌核
crimson_stem,Crimson Stem,绯红菌柄
crimson_hyphae,Crimson Hyphae,绯红菌核
crimson_planks,Crimson Planks,绯红木板
crimson_slab,Crimson Slab,绯红木台阶
crimson_stairs,Crimson Stairs,绯红木楼梯
crimson_trapdoor,Crimson Trapdoor,绯红木活板门
crimson_door,Crimson Door,绯红木门
crimson_fence,Crimson Fence,绯红木栅栏
crimson_fence_gate,Crimson Fence Gate,绯红木栅栏门
crimson_shelf,Crimson Shelf,绯红木展示架
crimson_sign,Crimson Sign,绯红木告示牌
crimson_hanging_sign,Crimson Hanging Sign,悬挂式绯红木告示牌
crimson_wall_sign,Crimson Wall Sign,墙上的绯红木告示牌
crimson_wall_hanging_sign,Crimson Wall Hanging Sign,墙上的悬挂式绯红木告示牌
crimson_button,Crimson Button,绯红木按钮
crimson_pressure_plate,Crimson Pressure Plate,绯红木压力板
,,
stripped_warped_stem,Stripped Warped Stem,去皮诡异菌柄
stripped_warped_hyphae,Stripped Warped Hyphae,去皮诡异菌核
warped_stem,Warped Stem,诡异菌柄
warped_hyphae,Warped Hyphae,诡异菌核
warped_planks,Warped Planks,诡异木板
warped_slab,Warped Slab,诡异木台阶
warped_stairs,Warped Stairs,诡异木楼梯
warped_trapdoor,Warped Trapdoor,诡异木活板门
warped_door,Warped Door,诡异木门
warped_fence,Warped Fence,诡异木栅栏
warped_fence_gate,Warped Fence Gate,诡异木栅栏门
warped_shelf,Warped Shelf,诡异木展示架
warped_sign,Warped Sign,诡异木告示牌
warped_hanging_sign,Warped Hanging Sign,悬挂式诡异木告示牌
warped_wall_sign,Warped Wall Sign,墙上的诡异木告示牌
warped_wall_hanging_sign,Warped Wall Hanging Sign,墙上的悬挂式诡异木告示牌
warped_button,Warped Button,诡异木按钮
warped_pressure_plate,Warped Pressure Plate,诡异木压力板
@stones,@Stones,@石材
deepslate,Deepslate,深板岩
bone_block,Bone Block,骨块
calcite,Calcite,方解石
dripstone_block,Dripstone Block,滴水石块
pointed_dripstone,Pointed Dripstone,滴水石锥
magma_block,Magma Block,岩浆块
obsidian,Obsidian,黑曜石
crying_obsidian,Crying Obsidian,哭泣的黑曜石
,,
granite,Granite,花岗岩
granite_slab,Granite Slab,花岗岩台阶
granite_stairs,Granite Stairs,花岗岩楼梯
granite_wall,Granite Wall,花岗岩墙
polished_granite,Polished Granite,磨制花岗岩
polished_granite_slab,Polished Granite Slab,磨制花岗岩台阶
polished_granite_stairs,Polished Granite Stairs,磨制花岗岩楼梯
,,
diorite,Diorite,闪长岩
diorite_slab,Diorite Slab,闪长岩台阶
diorite_stairs,Diorite Stairs,闪长岩楼梯
diorite_wall,Diorite Wall,闪长岩墙
polished_diorite,Polished Diorite,磨制闪长岩
polished_diorite_slab,Polished Diorite Slab,磨制闪长岩台阶
polished_diorite_stairs,Polished Diorite Stairs,磨制闪长岩楼梯
,,
andesite,Andesite,安山岩
andesite_slab,Andesite Slab,安山岩台阶
andesite_stairs,Andesite Stairs,安山岩楼梯
andesite_wall,Andesite Wall,安山岩墙
polished_andesite,Polished Andesite,磨制安山岩
polished_andesite_slab,Polished Andesite Slab,磨制安山岩台阶
polished_andesite_stairs,Polished Andesite Stairs,磨制安山岩楼梯
,,
red_sandstone,Red Sandstone,红砂岩
red_sandstone_slab,Red Sandstone Slab,红砂岩台阶
red_sandstone_stairs,Red Sandstone Stairs,红砂岩楼梯
red_sandstone_wall,Red Sandstone Wall,红砂岩墙
chiseled_red_sandstone,Chiseled Red Sandstone,雕纹红砂岩
cut_red_sandstone,Cut Red Sandstone,切制红砂岩
cut_red_sandstone_slab,Cut Red Sandstone Slab,切制红砂岩台阶
smooth_red_sandstone,Smooth Red Sandstone,平滑红砂岩
smooth_red_sandstone_slab,Smooth Red Sandstone Slab,平滑红砂岩台阶
smooth_red_sandstone_stairs,Smooth Red Sandstone Stairs,平滑红砂岩楼梯
,,
sandstone,Sandstone,砂岩
sandstone_slab,Sandstone Slab,砂岩台阶
sandstone_stairs,Sandstone Stairs,砂岩楼梯
sandstone_wall,Sandstone Wall,砂岩墙
chiseled_sandstone,Chiseled Sandstone,雕纹砂岩
cut_sandstone,Cut Sandstone,切制砂岩
cut_sandstone_slab,Cut Sandstone Slab,切制砂岩台阶
smooth_sandstone,Smooth Sandstone,平滑砂岩
smooth_sandstone_slab,Smooth Sandstone Slab,平滑砂岩台阶
smooth_sandstone_stairs,Smooth Sandstone Stairs,平滑砂岩楼梯
,,
end_stone,End Stone,末地石
end_stone_brick_slab,End Stone Brick Slab,末地石砖台阶
end_stone_brick_stairs,End Stone Brick Stairs,末地石砖楼梯
end_stone_brick_wall,End Stone Brick Wall,末地石砖墙
end_stone_bricks,End Stone Bricks,末地石砖
,,
purpur_block,Purpur Block,紫珀块
purpur_pillar,Purpur Pillar,紫珀柱
purpur_slab,Purpur Slab,紫珀台阶
purpur_stairs,Purpur Stairs,紫珀楼梯
,,
quartz_block,Block of Quartz,石英块
quartz_slab,Quartz Slab,石英台阶
quartz_stairs,Quartz Stairs,石英楼梯
quartz_bricks,Quartz Bricks,石英砖
quartz_pillar,Quartz Pillar,石英柱
chiseled_quartz_block,Chiseled Quartz Block,雕纹石英块
smooth_quartz,Smooth Quartz Block,平滑石英块
smooth_quartz_slab,Smooth Quartz Slab,平滑石英台阶
smooth_quartz_stairs,Smooth Quartz Stairs,平滑石英楼梯
,,
prismarine,Prismarine,海晶石
prismarine_slab,Prismarine Slab,海晶石台阶
prismarine_stairs,Prismarine Stairs,海晶石楼梯
prismarine_wall,Prismarine Wall,海晶石墙
prismarine_bricks,Prismarine Bricks,海晶石砖
prismarine_brick_slab,Prismarine Brick Slab,海晶石砖台阶
prismarine_brick_stairs,Prismarine Brick Stairs,海晶石砖楼梯
sea_lantern,Sea Lantern,海晶灯
dark_prismarine,Dark Prismarine,暗海晶石
dark_prismarine_slab,Dark Prismarine Slab,暗海晶石台阶
dark_prismarine_stairs,Dark Prismarine Stairs,暗海晶石楼梯
,,
stone,Stone,石头
stone_slab,Stone Slab,石头台阶
stone_stairs,Stone Stairs,石头楼梯
stone_button,Stone Button,石头按钮
stone_pressure_plate,Stone Pressure Plate,石头压力板
smooth_stone,Smooth Stone,平滑石头
smooth_stone_slab,Smooth Stone Slab,平滑石头台阶
,,
cobblestone,Cobblestone,圆石
cobblestone_slab,Cobblestone Slab,圆石台阶
cobblestone_stairs,Cobblestone Stairs,圆石楼梯
cobblestone_wall,Cobblestone Wall,圆石墙
,,
mossy_cobblestone,Mossy Cobblestone,苔石
mossy_cobblestone_slab,Mossy Cobblestone Slab,苔石台阶
mossy_cobblestone_stairs,Mossy Cobblestone Stairs,苔石楼梯
mossy_cobblestone_wall,Mossy Cobblestone Wall,苔石墙
,,
mossy_stone_bricks,Mossy Stone Bricks,苔石砖
mossy_stone_brick_slab,Mossy Stone Brick Slab,苔石砖台阶
mossy_stone_brick_stairs,Mossy Stone Brick Stairs,苔石砖楼梯
mossy_stone_brick_wall,Mossy Stone Brick Wall,苔石砖墙
,,
stone_bricks,Stone Bricks,石砖
stone_brick_slab,Stone Brick Slab,石砖台阶
stone_brick_stairs,Stone Brick Stairs,石砖楼梯
stone_brick_wall,Stone Brick Wall,石砖墙
chiseled_stone_bricks,Chiseled Stone Bricks,雕纹石砖
cracked_stone_bricks,Cracked Stone Bricks,裂纹石砖
,,
tuff,Tuff,凝灰岩
tuff_slab,Tuff Slab,凝灰岩台阶
tuff_stairs,Tuff Stairs,凝灰岩楼梯
tuff_wall,Tuff Wall,凝灰岩墙
chiseled_tuff,Chiseled Tuff,雕纹凝灰岩
,,
polished_tuff,Polished Tuff,磨制凝灰岩
polished_tuff_slab,Polished Tuff Slab,磨制凝灰岩台阶
polished_tuff_stairs,Polished Tuff Stairs,磨制凝灰岩楼梯
polished_tuff_wall,Polished Tuff Wall,磨制凝灰岩墙
,,
tuff_bricks,Tuff Bricks,凝灰岩砖
tuff_brick_slab,Tuff Brick Slab,凝灰岩砖台阶
tuff_brick_stairs,Tuff Brick Stairs,凝灰岩砖楼梯
tuff_brick_wall,Tuff Brick Wall,凝灰岩砖墙
chiseled_tuff_bricks,Chiseled Tuff Bricks,雕纹凝灰岩砖
,,
cobbled_deepslate,Cobbled Deepslate,深板岩圆石
cobbled_deepslate_slab,Cobbled Deepslate Slab,深板岩圆石台阶
cobbled_deepslate_stairs,Cobbled Deepslate Stairs,深板岩圆石楼梯
cobbled_deepslate_wall,Cobbled Deepslate Wall,深板岩圆石墙
chiseled_deepslate,Chiseled Deepslate,雕纹深板岩
,,
polished_deepslate,Polished Deepslate,磨制深板岩
polished_deepslate_slab,Polished Deepslate Slab,磨制深板岩台阶
polished_deepslate_stairs,Polished Deepslate Stairs,磨制深板岩楼梯
polished_deepslate_wall,Polished Deepslate Wall,磨制深板岩墙
,,
deepslate_bricks,Deepslate Bricks,深板岩砖
deepslate_brick_slab,Deepslate Brick Slab,深板岩砖台阶
deepslate_brick_stairs,Deepslate Brick Stairs,深板岩砖楼梯
deepslate_brick_wall,Deepslate Brick Wall,深板岩砖墙
cracked_deepslate_bricks,Cracked Deepslate Bricks,裂纹深板岩砖
,,
deepslate_tiles,Deepslate Tiles,深板岩瓦
deepslate_tile_slab,Deepslate Tile Slab,深板岩瓦台阶
deepslate_tile_stairs,Deepslate Tile Stairs,深板岩瓦楼梯
deepslate_tile_wall,Deepslate Tile Wall,深板岩瓦墙
cracked_deepslate_tiles,Cracked Deepslate Tiles,裂纹深板岩瓦
,,
blackstone,Blackstone,黑石
blackstone_slab,Blackstone Slab,黑石台阶
blackstone_stairs,Blackstone Stairs,黑石楼梯
blackstone_wall,Blackstone Wall,黑石墙
gilded_blackstone,Gilded Blackstone,镶金黑石
,,
polished_blackstone,Polished Blackstone,磨制黑石
polished_blackstone_slab,Polished Blackstone Slab,磨制黑石台阶
polished_blackstone_stairs,Polished Blackstone Stairs,磨制黑石楼梯
polished_blackstone_wall,Polished Blackstone Wall,磨制黑石墙
chiseled_polished_blackstone,Chiseled Polished Blackstone,雕纹磨制黑石
polished_blackstone_button,Polished Blackstone Button,磨制黑石按钮
polished_blackstone_pressure_plate,Polished Blackstone Pressure Plate,磨制黑石压力板
,,
polished_blackstone_bricks,Polished Blackstone Bricks,磨制黑石砖
polished_blackstone_brick_slab,Polished Blackstone Brick Slab,磨制黑石砖台阶
polished_blackstone_brick_stairs,Polished Blackstone Brick Stairs,磨制黑石砖楼梯
polished_blackstone_brick_wall,Polished Blackstone Brick Wall,磨制黑石砖墙
